Rank,Movies Name,Movies Year,Movies Rate,🔗Movies page site
Top rated movie #1,The Shawshank Redemption,((1994)),9.2,imdb.com/title/tt0111161/
Top rated movie #2,The Godfather,((1972)),9.2,imdb.com/title/tt0068646/
Top rated movie #3,The Dark Knight,((2008)),9.0,imdb.com/title/tt0468569/
Top rated movie #4,The Godfather Part II,((1974)),9.0,imdb.com/title/tt0071562/
Top rated movie #5,12 Angry Men,((1957)),9.0,imdb.com/title/tt0050083/
Top rated movie #6,Schindler's List,((1993)),8.9,imdb.com/title/tt0108052/
Top rated movie #7,The Lord of the Rings: The Return of the King,((2003)),8.9,imdb.com/title/tt0167260/
Top rated movie #8,Pulp Fiction,((1994)),8.8,imdb.com/title/tt0110912/
Top rated movie #9,The Lord of the Rings: The Fellowship of the Ring,((2001)),8.8,imdb.com/title/tt0120737/
Top rated movie #10,"Il buono, il brutto, il cattivo",((1966)),8.8,imdb.com/title/tt0060196/
Top rated movie #11,Forrest Gump,((1994)),8.8,imdb.com/title/tt0109830/
Top rated movie #12,Fight Club,((1999)),8.7,imdb.com/title/tt0137523/
Top rated movie #13,The Lord of the Rings: The Two Towers,((2002)),8.7,imdb.com/title/tt0167261/
Top rated movie #14,Inception,((2010)),8.7,imdb.com/title/tt1375666/
Top rated movie #15,The Empire Strikes Back,((1980)),8.7,imdb.com/title/tt0080684/
Top rated movie #16,The Matrix,((1999)),8.7,imdb.com/title/tt0133093/
Top rated movie #17,GoodFellas,((1990)),8.7,imdb.com/title/tt0099685/
Top rated movie #18,One Flew Over the Cuckoo's Nest,((1975)),8.6,imdb.com/title/tt0073486/
Top rated movie #19,Se7en,((1995)),8.6,imdb.com/title/tt0114369/
Top rated movie #20,It's a Wonderful Life,((1946)),8.6,imdb.com/title/tt0038650/
Top rated movie #21,Shichinin no samurai,((1954)),8.6,imdb.com/title/tt0047478/
Top rated movie #22,The Silence of the Lambs,((1991)),8.6,imdb.com/title/tt0102926/
Top rated movie #23,Saving Private Ryan,((1998)),8.6,imdb.com/title/tt0120815/
Top rated movie #24,Cidade de Deus,((2002)),8.6,imdb.com/title/tt0317248/
Top rated movie #25,Interstellar,((2014)),8.6,imdb.com/title/tt0816692/
Top rated movie #26,La vita è bella,((1997)),8.6,imdb.com/title/tt0118799/
Top rated movie #27,The Green Mile,((1999)),8.6,imdb.com/title/tt0120689/
Top rated movie #28,Star Wars,((1977)),8.5,imdb.com/title/tt0076759/
Top rated movie #29,Terminator 2: Judgment Day,((1991)),8.5,imdb.com/title/tt0103064/
Top rated movie #30,Back to the Future,((1985)),8.5,imdb.com/title/tt0088763/
